data,squadra_casa,squadra_trasferta,gol_casa,gol_trasferta,gol_casa_1T,gol_trasferta_1T,tiri_casa,tiri_trasferta,tiri_porta_casa,tiri_porta_trasferta,corner_casa,corner_trasferta,falli_casa,falli_trasferta,gialli_casa,gialli_trasferta,rossi_casa,rossi_trasferta,stagione
2024-12-07,La Coruna,Zaragoza,1,1,1,0,6,26,2,4,2,5,12,20,5,3,0,0,2425
2024-12-08,Albacete,Castellon,0,0,0,0,9,5,2,0,4,6,5,13,0,1,0,0,2425
2024-12-08,Burgos,Eldense,1,0,0,0,12,10,4,2,12,2,11,11,1,1,0,0,2425
2024-12-08,Ferrol,Oviedo,1,5,0,1,8,26,2,15,1,5,12,21,2,1,0,0,2425
2024-12-08,Malaga,Almeria,1,1,1,0,10,24,1,8,3,10,24,14,2,6,0,0,2425
2024-12-08,Cordoba,Tenerife,3,0,1,0,22,6,8,1,12,4,16,10,2,1,0,0,2425
2024-12-09,Cartagena,Sp Gijon,1,0,0,0,11,10,8,3,3,6,9,15,1,2,0,1,2425
2024-12-13,Almeria,Mirandes,1,0,1,0,9,11,4,3,2,4,26,19,6,2,0,0,2425
2024-12-14,Levante,Cordoba,2,2,0,0,10,17,3,4,5,5,11,20,0,3,0,0,2425
2024-12-14,Cadiz,Albacete,1,0,0,0,14,9,3,1,2,2,12,10,1,1,0,0,2425
2024-12-14,Castellon,Cartagena,4,1,2,0,24,9,13,7,5,1,10,11,1,4,0,0,2425
2024-12-14,Eibar,Zaragoza,2,1,1,0,12,6,6,3,5,6,15,15,3,4,0,0,2425
2024-12-14,Eldense,Elche,0,0,0,0,13,9,1,1,3,5,24,9,3,2,0,0,2425
2024-12-14,Oviedo,Granada,2,0,0,0,8,7,4,1,6,8,15,15,3,3,0,0,2425
2024-12-15,Sp Gijon,Ferrol,1,3,1,3,24,7,8,3,5,2,11,21,5,4,0,0,2425
2024-12-15,Burgos,Malaga,0,0,0,0,11,10,3,1,6,7,11,13,2,1,0,0,2425
2024-12-15,Santander,Huesca,0,1,0,0,16,7,7,4,7,1,9,13,2,3,0,0,2425
2024-12-17,Zaragoza,Oviedo,2,3,2,0,22,15,11,5,3,5,18,23,3,5,0,0,2425
2024-12-17,Cordoba,Eibar,2,1,1,1,12,13,5,5,2,1,12,17,5,2,0,0,2425
2024-12-17,Granada,Cartagena,4,1,3,1,18,10,5,3,4,4,7,13,1,3,0,0,2425
2024-12-17,Albacete,Levante,0,0,0,0,12,12,2,4,3,5,6,8,1,3,0,0,2425
2024-12-18,Ferrol,Almeria,1,4,0,1,16,8,10,4,8,3,14,12,3,1,0,0,2425
2024-12-18,Malaga,Eldense,3,0,2,0,16,15,6,4,3,2,10,20,1,7,0,1,2425
2024-12-18,Mirandes,Sp Gijon,1,1,1,0,6,14,3,6,1,4,6,16,0,3,0,0,2425
2024-12-19,Cadiz,Burgos,1,1,0,0,11,8,3,2,2,6,27,13,4,1,1,0,2425
2024-12-19,Elche,Santander,3,0,1,0,18,14,8,3,8,5,16,19,1,1,0,1,2425
2024-12-19,Huesca,Tenerife,1,0,1,0,10,12,4,2,5,4,11,12,2,1,0,0,2425
2024-12-19,La Coruna,Castellon,5,1,3,1,18,10,12,3,7,0,10,17,1,2,0,0,2425
2024-12-20,Cartagena,Albacete,0,0,0,0,10,13,0,4,3,4,11,9,2,2,0,0,2425
2024-12-21,Oviedo,Cordoba,2,3,1,3,15,14,5,8,7,2,16,24,5,3,0,0,2425
2024-12-21,Sp Gijon,Malaga,1,3,0,0,23,8,8,5,10,2,19,9,3,2,0,0,2425
2024-12-21,Eibar,Granada,1,1,1,0,15,10,7,5,9,6,14,16,1,1,0,1,2425
2024-12-21,Zaragoza,Ferrol,1,0,0,0,13,5,4,1,7,2,9,17,3,2,0,1,2425
2024-12-22,La Coruna,Mirandes,0,4,0,2,5,14,2,7,5,2,10,11,1,3,1,0,2425
2024-12-22,Levante,Huesca,1,1,0,1,14,6,5,2,10,2,14,10,2,1,0,0,2425
2024-12-22,Santander,Eldense,2,2,0,0,14,15,5,5,3,5,14,16,1,2,0,0,2425
2024-12-22,Almeria,Cadiz,1,1,0,1,20,5,6,4,6,0,16,11,3,4,0,1,2425
2024-12-22,Castellon,Elche,0,2,0,2,10,7,3,3,4,3,14,12,1,2,0,0,2425
2024-12-22,Burgos,Tenerife,1,0,0,0,9,5,3,0,5,4,16,22,3,2,0,0,2425
2025-01-07,Tenerife,Levante,0,3,0,0,10,17,2,5,3,5,13,2,0,1,1,0,2425
2025-01-10,Granada,Burgos,0,0,0,0,13,10,2,3,5,2,9,23,2,7,0,0,2425
2025-01-11,Ferrol,Cartagena,0,0,0,0,18,3,5,2,8,2,13,15,2,3,0,0,2425
2025-01-11,Albacete,Santander,2,2,1,0,10,18,3,9,4,5,14,11,4,3,1,0,2425
2025-01-11,Huesca,Mirandes,1,0,1,0,26,4,5,2,16,2,11,6,1,1,1,2,2425
2025-01-11,Malaga,La Coruna,1,1,0,0,11,13,1,4,5,4,10,12,2,1,0,0,2425
2025-01-11,Tenerife,Castellon,2,0,1,0,6,5,3,0,1,9,18,10,1,2,0,0,2425
2025-01-11,Oviedo,Sp Gijon,1,1,0,0,10,8,4,2,4,4,12,16,3,4,0,0,2425
2025-01-12,Cordoba,Almeria,0,3,0,1,7,14,3,5,6,2,23,7,4,1,1,0,2425
